,Date_reported,Country,y_cases,y_deaths,Cumulative_cases,Cumulative_deaths,Total_Existed,total_tests,School_closing,Workplace_closing,public_events,Stay_at_home,travel_controls,Travel_Ban_Condition,Restaurant_Restriction
0,2020-01-03,Australia,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,2020-01-04,Australia,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,2020-01-05,Australia,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
3,2020-01-06,Australia,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
4,2020-01-07,Australia,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
5,2020-01-08,Australia,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
6,2020-01-09,Australia,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
7,2020-01-10,Australia,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
8,2020-01-11,Australia,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
9,2020-01-12,Australia,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
10,2020-01-13,Australia,9.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
11,2020-01-14,Australia,9.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
12,2020-01-15,Australia,11.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
13,2020-01-16,Australia,13.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
14,2020-01-17,Australia,13.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
15,2020-01-18,Australia,9.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
16,2020-01-19,Australia,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
17,2020-01-20,Australia,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
